instante_t+1,id_nodo,Set_Type,Target_Class,HA_max_t0,HA_mean_t0,HA_min_t0,HS10_max_t0,HS10_mean_t0,HS10_min_t0,HS30_max_t0,HS30_mean_t0,HS30_min_t0,HS60_max_t0,HS60_mean_t0,HS60_min_t0,TA_max_t0,TA_mean_t0,TA_min_t0,radiacion_max_t0,radiacion_sum_t0,HA_max_t+1,HA_mean_t+1,HA_min_t+1,HS10_max_t+1,HS10_mean_t+1,HS10_min_t+1,HS30_max_t+1,HS30_mean_t+1,HS30_min_t+1,HS60_max_t+1,HS60_mean_t+1,HS60_min_t+1,TA_max_t+1,TA_mean_t+1,TA_min_t+1,radiacion_max_t+1,radiacion_sum_t+1
2018-08-12,4,Train_CV,0,83.50475,69.14064533333332,48.157093,0.8670434996911486,0.8432412671467032,0.8269827127634876,0.8611360864202601,0.8297831631279422,0.8189741023057527,0.7816219564061669,0.7769153391767815,0.7722403389432895,30.766668,26.795659416666663,23.966667,765.0,6006.0,88.28225,63.50450191666667,38.396694,0.8338244180891721,0.8269983175017949,0.8167189335176315,0.821258494522293,0.8122642125079408,0.8038348195329087,0.7755106446977139,0.7720921911513284,0.7695878152224912,31.754166,26.51631925,22.083334,896.0,6833.0
2018-08-19,4,Train_CV,0,89.97864,73.55724666666667,54.04379,0.8647226645435243,0.8464900918493735,0.8323440555018703,0.8559078498282795,0.8253802513391005,0.8148767781316347,0.7770930732484077,0.7726807993364105,0.7687899768867781,27.658333,23.930555416666667,21.529167,567.0,4792.0,88.54224,69.25805245833332,51.268597,0.8385974256900212,0.8293239977121757,0.8188561314942572,0.8162054670912952,0.8065907546918408,0.7971103986714327,0.7708651273885351,0.767611057763364,0.76514631318494,28.025,24.301909666666663,21.708334,725.0,5714.0
2018-08-26,4,Train_CV,0,81.672806,64.18996054166666,46.01758,0.8715533508432288,0.8533821397163708,0.8355690166374693,0.8610184289255275,0.8300916673240185,0.8175922100256869,0.7792044407613283,0.7746462206701757,0.7698040152960455,31.579165,26.178819208333334,22.25,850.0,6235.0,85.940735,67.53133941666667,44.560562,0.8467898189075992,0.836115333636228,0.8227796540358266,0.8257148913619502,0.8162721188674854,0.8075,0.7739349550562178,0.7711117144932237,0.7693681939198472,31.158335,25.996007541666668,22.183334,857.0,6318.0
2018-08-29,4,Train_CV,0,87.72809,65.59211608333334,40.36258,0.8702876514897552,0.8506833100903752,0.835224479129748,0.8623756351649244,0.8294114887317892,0.8188206213566508,0.7746994435612082,0.7716637795415516,0.7678285108638051,30.529167,25.207291916666662,21.566666,795.0,4594.0,86.88268,58.540548875000006,41.28529,0.8445871469331454,0.8339937689226202,0.820276187769823,0.8232544540964121,0.8143712559032544,0.8061109341825903,0.7718192545890091,0.7694722086727052,0.767942728237792,32.066666,25.636458,20.829166,853.0,6331.0
2018-09-02,4,Train_CV,0,83.24544,64.489762125,38.85529,0.8753630780806083,0.8519681462420855,0.8365852529431161,0.8671735724661973,0.8313543600308321,0.8223632202851398,0.7742,0.7714976026273533,0.7683780074191838,30.112501,25.145312625000003,21.258333,843.0,6304.0,84.873764,66.95384670833333,44.338745,0.8454532048172072,0.8346806135534632,0.8174848943407627,0.8220823763955343,0.8132314867345323,0.8045646496815286,0.7714839427662956,0.7696456085369041,0.7685303609341826,31.395834,25.6387155,21.579168,838.0,6163.0
2018-09-09,4,Train_CV,0,87.7919,74.833122375,57.339573,0.8723947161567712,0.8501400924430648,0.8340659501061571,0.8584190874698229,0.8278306824979024,0.8145849444236294,0.7808232484076433,0.7774156126519866,0.7744014308426074,24.925001,22.67552075,21.008333,450.0,2435.0,93.804436,76.37123058333333,60.621613,0.8491992528734084,0.8419113001199304,0.8343326167728238,0.8226667637658657,0.8116682400130398,0.8045696390658174,0.7785244094488188,0.776284257795906,0.774343152866242,26.275,22.7373265,19.9,511.0,2964.0
2018-09-16,4,Train_CV,1,98.190674,89.19047825,72.57888,0.8683495578841439,0.8553308846117663,0.8373927737336974,0.8189751023597595,0.8088455474820092,0.8017,0.7755754817863177,0.7737862501561287,0.7720180997876858,23.870834,21.36875,20.025,322.0,2007.0,90.02746,78.05874691666666,58.99673,0.8507767583691807,0.8420906993342029,0.8324805358872592,0.8111506995481518,0.8001296184790863,0.7911955247194419,0.7727506544440369,0.77073688361533,0.7691233174350822,27.170832,22.79670108333333,18.808332,729.0,5092.0
2018-09-19,4,Train_CV,0,91.39026,76.06571808333334,55.1944,0.8630664295623959,0.8458807001977166,0.8325968106395288,0.8414893262980135,0.8163320465928804,0.8061261410336859,0.77181974317817,0.7693008442545887,0.7661382022587476,28.475,23.67135420833333,20.470835,724.0,5055.0,92.738304,77.73186354166667,54.159885,0.8632874088001641,0.849125138829313,0.8410128685232895,0.8161620318707618,0.8099764607507178,0.8050860232062734,0.7707261146496815,0.7691306976132983,0.7667908814930744,28.120834,23.752777875000003,19.841665,732.0,5243.0
2018-09-23,4,Train_CV,0,91.85325,68.52978304166668,44.554764,0.8665006921799288,0.8466437872054614,0.8331177896033165,0.8159793164209984,0.8097385693523035,0.80727016985138,0.7677,0.7655074385685229,0.762641814781114,30.675001,25.3168405,22.137499,759.0,5433.0,69.11707,46.98417054166666,22.834831,0.8412200093921197,0.8305352575594799,0.8160960657515939,0.8113696873343933,0.807348148228909,0.8027303731164106,0.7642082410998484,0.7617085277369395,0.7599619609729084,32.6875,26.278472,21.291666,761.0,5454.0
2018-10-01,4,Train_CV,0,89.9946,67.84217541666666,34.537292,0.8555855095541401,0.8364525082759343,0.8232981924170014,0.8426119182945784,0.8275573399167659,0.820323439774473,0.7616,0.7587413321199156,0.7554000567939693,27.516668,20.378819375,14.8,751.0,5191.0,84.86872,70.15387366666667,50.31699,0.8551585072989364,0.8379236999358414,0.8249986294931123,0.8263895435244161,0.8240102248893657,0.8216702522062732,0.7603,0.7577934675223901,0.7547941594117508,26.141668,21.5822915,17.920834,675.0,4436.0
