instante,HS10_min,HS10_mean,HS10_max,HS20_min,HS20_mean,HS20_max,HS30_min,HS30_mean,HS30_max,HS40_min,HS40_mean,HS40_max,HS50_min,HS50_mean,HS50_max,HS60_min,HS60_mean,HS60_max,TS30_min,TS30_mean,TS30_max,dendrometro_min,dendrometro_mean,dendrometro_max,litros_arbol_last,litros_intervalo_sum,evento_riego_max,TA_min,TA_mean,TA_max,HA_min,HA_mean,HA_max,radiacion_sum
2018-07-10,0.8274,0.8478202813108876,0.8789850318471337,0.828700956937799,0.8436487779433426,0.8785062200956938,0.8188,0.8312022892362908,0.8677,0.7676408585055644,0.7848292037081079,0.8387,0.847930303030303,0.8545716638687636,0.8657949044585987,0.7628,0.7675847794676781,0.7723,27.4,27.93643615284336,28.4,38.73,38.741707268550584,38.7675,331.8,43.0,1.0,20.12,26.536805555555553,34.18,31.3,64.62777777777778,86.4,44004.39
2018-07-11,0.8279,0.850258385873651,0.8735745222929936,0.8283,0.8448212616487514,0.8727,0.8183,0.8318764106284451,0.8645,0.7693,0.7866454599998591,0.8342,0.8500321656050955,0.8566344359093309,0.863825796178344,0.7646,0.7693360981146503,0.7725890127388535,28.0,28.27916368167628,28.6,38.735,38.749464946010896,38.7775,376.4,44.599999999999966,1.0,20.66,26.165277777777774,32.03,49.11,71.47187500000001,91.66666666666669,42743.61
2018-07-12,0.8307,0.8460810605278613,0.8699164012738854,0.8298,0.8414316662642989,0.873229458598726,0.8190174880763116,0.8287552304913306,0.863867356687898,0.7679031796502385,0.7824872573717769,0.8366735668789809,0.8528111464968153,0.8584752758517491,0.8683,0.7665,0.7716237575081072,0.7765,28.0,28.409618586584383,28.6,38.73,38.75366155971946,38.78,422.2,45.80000000000001,1.0,20.88,26.7125,33.78,37.94,69.79875,91.9,43348.47
2018-07-13,0.8320757961783439,0.8438169293483828,0.8731442675159236,0.829675796178344,0.8393305298051313,0.8750764331210191,0.8159117834394904,0.8266713429127044,0.8631050713153724,0.7633414556962025,0.7785649889595903,0.8315714968152866,0.852403821656051,0.858376399816749,0.8696055821371611,0.7686,0.7741936140084864,0.7799299363057325,28.4,28.70219240863777,29.0,38.735,38.76106613366318,38.785,466.4,44.19999999999999,1.0,23.18,27.105763888888887,32.14,43.56,68.66263888888889,89.7,38549.13
2018-07-14,0.8236,0.8387035394656596,0.8639,0.8236324840764331,0.8350622111181699,0.8688426751592356,0.8127,0.8230014198772907,0.8586377990430621,0.7604,0.7748404650512504,0.8235,0.8523,0.8576538644690931,0.8666980861244019,0.7707573248407644,0.7752490958270276,0.7798,28.2,28.676961353916674,29.2,38.7525,38.77044907038134,38.7925,511.8,45.400000000000034,1.0,21.78,27.827777777777776,34.76,40.46,64.83590277777779,86.8,42659.43
2018-07-15,0.8185,0.8324061070203241,0.8605566455696203,0.8166049363057325,0.8291167545383598,0.8646474522292994,0.8066,0.8177653958689436,0.8555498407643313,0.7589385350318472,0.7717376239858855,0.8229832802547771,0.8518,0.8572603249271704,0.8658,0.7714,0.7758409927518378,0.78,28.4,28.83895704912949,29.2,38.75,38.77691960374168,38.7975,556.8,44.99999999999994,1.0,21.93,27.537222222222223,36.29,25.9,59.90743055555556,84.6,35650.83
2018-07-16,0.8079042993630573,0.8265616144850714,0.8551850079744816,0.8095,0.8243365597649424,0.8570890127388535,0.8007517515923567,0.8137225214656931,0.8508023885350318,0.7515385350318471,0.7658074727757098,0.8159291401273885,0.8509652866242038,0.8558897190195466,0.8643805422647527,0.7723,0.7762729759619469,0.7809,28.0,28.453947717622082,29.0,38.75765873015873,38.78729925565733,38.8075,604.2,47.40000000000009,1.0,22.09,29.18138888888889,36.32,15.85,31.79902777777778,64.79666666666667,44798.49
2018-07-17,0.8092987301587302,0.8280793753945322,0.8606,0.8115987301587302,0.8265938251259751,0.8599019108280255,0.8031987301587302,0.8158608526519963,0.851409872611465,0.7535099692465402,0.7676430887085202,0.8225312101910828,0.8488,0.8537744237463368,0.8630583732057416,0.7712628395694515,0.7749545534752683,0.7786,27.6,28.199905208452023,28.6,38.7825,38.802473059816705,38.8325,37.0,34.2,1.0,19.32,26.287152777777777,32.7,24.1,51.56375,77.3,42786.72
2018-07-18,0.8121050955414013,0.8309288085175358,0.8611,0.8138050955414012,0.8282952325551663,0.8597298578199052,0.8041144215530903,0.8168508380840213,0.8512720190779014,0.7527097133757962,0.7681530106246627,0.818285534591195,0.8472,0.8527641891775259,0.8614,0.769666144200627,0.7733635414837007,0.7775,27.4,27.970273421836303,28.4,38.795,38.818772837236445,38.84262910798122,82.6,45.599999999999994,1.0,21.29,26.704583333333332,32.99,32.82,54.91215277777778,85.9,40929.75
2018-07-19,0.8147767660910518,0.8332869379128762,0.8618607655502393,0.815,0.8290269022003869,0.8599824840764331,0.8047353968253967,0.8167726317306454,0.8522737261146496,0.752536320754717,0.7678862032794025,0.8234737261146496,0.8465448818897638,0.8521447594058327,0.861747687400319,0.7677,0.7716101835920256,0.7758,27.6,28.068412480595224,28.4,38.84114069952305,38.8639687659147,38.89,47.2,47.0,1.0,19.61,26.070277777777775,32.52,40.0,69.40895833333333,91.0,40154.73
